No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
3199	barangkali'	barangkali	probably	
3200	buli jadi	mungkin	possibly	
3201	rupa noh'	tampaknya, rupanya	apparently	
3202	kakal po	lagi, masih	still	
3203	usul no	agaknya	presumably	
3204	salalu'	selalu	always	
3205	masarok	sering(kali)	often	sarok
3206	kadang-kadang	kadang-kadang	occasionally	
3207	insan, narasai'	pernah	ever	
3208	kaa insan	tak pernah	never	
3209	kogumuan	pada umumnya	generally	gumu'
3210	jarang-jarang	jarang	rarely	
3211	sama' sakali'	sekaligus	(all) at once	
3212	kotigog	tiba-tiba	suddenly	tigog
3213	lagi'	pula, lagi	again	
3214	kaa noinsanan	tidak sama sekali	not at all	insan
3215	saumur-umur	selama-lamanya	always / forever	
3216	baagu	baru	just	
3217	do dino	tadi	a little while ago	
3218	suda	sudah, telah	already	
3219	sabantar, sakajap	sebentar	in a moment	
3220	baru gonoi	baru-baru ini	recently	
3221	do touri	belakangan ini	lately	touri
3222	maagab	dengan segera	immediately	agab
3223	akan-akan	hampir	almost	
3224	poilabi	agak	rather	labi
3225	akan-akan	hampir-hampir tidak	hardly	
3226	andang biasa'	biasa	normal / as usual	andang, biasa'
3227	suma', ani'	cuma, hanya, saja	only	
3228	somumua	seluruhnya, semuanya	completely	
3229	babanar	sangat, amat, sekali	very	banar
3230	moindamaan	terlalu	too, excessively	
3231	do mula' i	dahulu, dulu	formerly	mula'
3232	do mula-mula'	pada mulanya	at first	mula'
3233	singkait, do maino it	sekarang	now	
3234	kaa po	belum	not yet	
3235	nini'	juga	also, anyway	
3236	ingkuo pun	biarpun demikian	anyway	
3237	do	di	in, at, on	
3238	do	ke	to	
3239	intad	dari	from, of	
3240	dangan	sama, dengan	with	
3241	kira'	akan	about, in	
3242	sawat, karana'	atas	on, for, in	
3243	dangan koiso	tanpa	without	
3244	intad do	sejak	since	
3245	ontok, sawaktu	selama	during	
3246	karana di/do	bagi	for the sake of	
3247	guna' do	buat	for the use of	
3248	ontok do	untuk	for the benefit of	
3249	sampai	hingga, sampai	until	
3250	monganai do	tentang, mengenai	about, concerning	
3251	sopupus	sepanjang	along	pupus
3252	ni	demi	by	
3253	guna' o di	guna	for the sake of	
3254	tumalib, lumapas	melalui	past, through	talib, lapas
3255	nu, ni	oleh	by the agency of	
3256	karana', sabap	sebab, kerana	because of	
3257	suma' ani'	kecuali	except	
3258	tumuju	menuju	towards	tuju
3259	mangaya'	menurut	according to	waya'
3260	montok do	berkat	owing to	
3261	lumawan	melawan	against	lawan
3262	lapas	sesudah, setelah	after	lapas
3263	sabalum, pogulu'	sebelum	before	
3264	maya do	secara	in the manner of	waya'
3265	miad do	sebagai	as	iad
3266	katapi'	tetapi	but	
3267	sabap	sebab, kerana	because	
3268	sangalpun	walaupun, meskipun	even though	
3269	miad po	seakan-akan	as if	iad
3270	asal ani'	asalkan, asal	as long as	
3271	lapas	setelah, sesudah	after	
3272	pogulu'	sebelum	before	
3273	om	dan	and	
3274	bila' poyo	apabila	whenever	
3275	waktu, ontok do	waktu, ketika	when	
3276	do naamot	sedang, ketika	while / at the moment	
3277	intad do gii	sejak	since	
3278	ontok	sedang, sambil	while	
3279	supaya'	agar, supaya	so that	
3280	sampai	hingga, sampai	until	
3281	kalau, nung, oyo	kalau, jika	when, if	
3282	toi	atau	or	
3283	toi ko	atau... atau	either... or	
3284	tau pun	baik... baik	both... and	
3285	do	bahwa	that	
3286	intad	daripada	than	
3287	miad do	seperti	as, like	iad
3288	gii	yang	the one who, which	
3289	ih, ide-de, ilili	wah	surprise, astonishment, fear	
3290	ui, hei	hai	calls attention, joy, wonder	
3291	odoi	aduh	pain, pity	
3292	aya	masya Allah	surprise, wonder	
3293	iboko'	mari	invitation	
3294	kaa maalap, mana asi', mana diasi'	mana boleh, masa, masakan	doubt	
3295	silaka'	celaka	irritation, dissatisfaction, disappointment	
3296	oh	oh	regret	
3297	ni awat daa	sayang	pity	
3298	sian	kasihan	pity	
3299	ei, aa	astaga	amazement	
3300	ah	ah, akh	dislike, disagreement, anger	
3301	maap	maaf	pardon	
3302	isai	siapa	who, whose	
3303	nunu	apa	what	
3304	songgian	bila	when	
3305	ombo	di mana	where	
3306	ombo ongoi	ke mana	to where	
3307	ombo intad	dari mana	from where	
3308	ombo dogii/gii	(yang) mana	which	
3309	poingkuo	bagaimana	how	
3310	nokuo, nunu sabap	mengapa, kenapa	why	
3311	songkuo	berapa	how much, how many	
3312	songkuo buoi	berapa lama	how long	
3313	isai sanganu	siapa punya	whose	
3314	songkuo gumu'	berapa banyak	how much, how many	
3315	ulun	orang	people	
3316	inan	ekor	animals	
3317	linsou, bua	buah	fruits, big objects, abstract nouns	
3318	putul	batang	long, cylindrical objects (trees, cigars)	
3319	susulung	bentuk	rings	sulung
3320	gumu	bilah	flat, bladed objects (knives, planks)	
3321	ikar, sirang	bidang	land, fields, gardens, nets	
3322	sahalai	helai	flat, thin things (paper, cloth)	
3323	utas	utas	long, soft things (threads, strings, nets)	
3324	korot	kerat, potong	pieces of meat, bread, or things cut	
3325	inan	biji	grains, seeds, small round things	
3326	pusuk, lambar	pucuk	sharp, pointed things (rifles), letters	
3327	tundun	sikat	bunch of bananas (hand)	
3328	rampun	rumpun	clusters (bamboo, lemongrass)	
3329	pila'	keping	slices, flat objects (coins, boards)	
3330	tangkai, pumpung	tangkai, kuntum	flowers, stalks	
3331	papata	patah	words (in a sentence)	patah
3332	turu'	titis	drops (liquid)	
3333	taguk	teguk	swallows, draughts	
