No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1105	sumimbul, mogidu'	lari	to run	simbul, idu'
1106	tumindak	melompat, meloncat	to jump	tindak
1107	momua'	memanjat	to climb tree	pua'
1108	tumakad	mendaki	to climb hill	takad
1109	magasu	memburu	to hunt	asu
1110	mangaya'	mengikut	to go with	waya
1111	mogisusunu'	beriring-iring	to walk in file	sunu'
1112	mogalau	mengejar	to pursue, chase (to seize)	alau
1113	misumbaya'	berjalan bersama-sama	to go with	sumbaya'
1114	tumamu, mitamu	bertemu	to meet (in the street)	tamu
1115	momurut	menjemput	to pick up	purut
1116	tumimung	berkumpul	to assemble	timung
1117	sumoborong, sumarug	mengarungi	to wade across	soborong, sarug
1118	ginalud	jarak	distance	galud
1119	magalud	jauh	far	galud
1120	magaad	dekat	near	gaad
1121	mindakod, minsawat	naik	to go up	indakod, sawat
1122	mangakat, popoinsawat	mengangkat	to raise, lift	kakat, sawat
1123	mingkakat	berdiri	to stand up	kakat
1124	mingkakat	bangun	to rise up	kakat
1125	mindakod, momua' do tukad	naik ke atas	to go upstairs	indakod, pua'
1126	tumuun	turun	to go down	tuun
1127	mongibit tumuun, popotuun	membawa turun	to bring down	ibit, tuun
1128	paparatu'	menjatuhkan	to drop	ratu'
1129	popolapas	melepaskan	to release, free	lapas
1130	lumabus intad	melepaskan diri	to escape from	labus
1131	popotuun	menurunkan	to bring down	tuun
1132	maratu', mourung	jatuh	fall	ratu', urung
1133	mokourung do	menimpa	to fall on something	urung
1134	rumatu', umurung	gugur	to drop (leaves)	ratu', urung
1135	mokosuang	jatuh ke dalam	to fall into	suang
1136	popoubus	menumpahkan	to spill	ubus
1137	popoiib	menuang	to pour out	iib
1138	mopojojob	mencelup	to dip, immerse	jojob
1139	tumuru'	menitik, menetes	to drip	turu'
1140	momojojok, popojojok	menekan	to press down	jojok
1141	tumindak	meloncat ke bawah	to jump down	tindak
1142	mangurau	meruntuhkan	to overthrow	urau
1143	popobadung	menyungsang, membalikkan	to turn upside down	badung
1144	naurau, umurau	runtuh	to collapse (itr.)	urau
1145	nounsut	terperosok	stepped in (a hole)	unsut
1146	nakatakis	terpelanting	thrown to one side	takis
1147	manyurung, poposurung	mendorong, menyorongkan	to push, to move over	surung
1148	popodoribau			ribau
1149	sumumpak, nokosumpak	tersungkur	to fall forward	sumpak
1150	popolandai	meluncur	to slip, skid	landai
1151	lumandai	merosot	to slip off	landai
1152	popotokon	melontar	to throw spear	tokon
1153	sumandig	bersandar	to lean on	sandig
1154	nokotudung	jatuh terduduk	to fall into a sitting position	tudung
1155	nokotutu ulu, notuntuad	jatuh terbalik	to fall head first	tutu, tuntuad
1156	nakababo'	jatuh tertelentang	to fall on one's back	babo
1157	sumalura'	keluar	to go out	salura'
1158	mongibit	membawa	to take away	ibit
1159	mongubul	mencabut	to extract, pull out	ubul
1160	magalap	mengambil	to take out	alap
1161	popoibit	mengirim	to send	ibit
1162	poposolura'	mengeluarkan	to take out from	solura'
1163	monusub, monyusub	menyuruh	to send a boy	susub
1164	mamuka'	membuka	to open	buka'
1165	mamaliu	pindah	to move (itr.)	baliu
1166	mapaambur	menebar	to scatter	ambur
1167	manatak	meninggalkan	to leave (something)	tatak
1168	mugad	berangkat	to leave, depart	ugad
1169	sumuang	masuk	to enter	suang
1170	popoima'	menaruh	to place	ima'
1171	mongodong	menarik	to draw, haul, pull	kodong
1172	magangkut	mengangkut	to take away, transport	angkut
1173	mamanu'	mengisi penuh	to cram	panu'
1174	monutub	menutup	to close	tutub
1175	poposisip	menyisipkan	to insert, enter	sisip
1176	mangamuk	menusuk	to stab, insert	amuk
1177	mitatau'	bersembunyi	to hide (intr.)	tau'
1178	mantau'	menyembunyikan	to hide, conceal	tau'
1179	mamarata'	meratakan	to level	rata'
1180	mamungga	memunggah	to unload	pungga
1181	magudan	memuat	to load, fill up	udan
1182	manatak	menghilangkan	to omit, leave out	tatak
1183	jumurunjung	menabrak, melanggar	to bump into	runjung
1184	mapaangob	menutup	to close doors, windows	angob
1185	mongoondoi	memegang	to hold	kondoi
1186	mamabo'	menggendong	to carry on back	babo'
1187	mananggung	memikul	to carry with a pole (shoulders)	tanggung
1188	mangansip	mengepit	to carry under arm	ansip
1189	manyuun	menjunjung	to carry on head	suun
1190	manyaan	memanggul	to carry on shoulder	saan
1191	mongimbing	menjinjing	to carry by hand	kimging
1192	tanggungan	menggotong	to carry a thing (by several people)	tanggung
1193	mongibit do kitatanggungan	mengusung	to carry on a stretcher	ibit
1194	momobog	memukul	to hit	bobog
1195	momogitik	mengetuk	to knock (door)	gitik
1196	monguyog	mengocok	to shake (mixture)	uyog
1197	mongunggu'	mengguncangkan	to shake	kunggu'
1198	monginsud	menggerakkan	to move	insud
1199	momolunyod	memukul berulang-ulang	to hit repeatedly	lunyod
1200	mamabak	menghancurkan	to smash	babak
1201	nododok	remuk	smashed completely	dodok
1202	naansur, nagagai	hancur	shattered	ansur, gagai
1203	mangusau	menggerakkan	to agitate	kusau
1204	momogiur	mengucau	to stir	giur
1205	mangama', manudu	meraba, menyentuh	to touch	kama'
1206	manapap, popitapap do palad	bertepuk tangan	to clap hands	tapap
1207	momukut	meninju	to box	bukut
1208	mominasa'	menumpas	to destroy	binasa
1209	manapap	menampar	to slap	tapap
1210	momoruju	berlanggar, bertubrukan	to collide	ruju
1211	manulak	mendorong, menolak	to push away	tulak
1212	momutul, mamalaas	memotong (kayu)	to cut, chop (wood)	putul, laas
1213	mangasa', mamaladom	mempertajam	to sharpen (knife)	asa', ladom
1214	mammus	meraut	to whittle, sharpen (pencil)	puus
1215	mamuguk	mencukur	to shave	buguk
1216	mongikis	menggaruk	to scrape	kikis
1217	managad	menebang (pokok)	to cut down (tree)	tagad
1218	monyinsib	mengiris	to slice	sinsib
1219	mongorob	memangkas	to cut (hair, grass)	korob
1220	monibas, monobok	menikam, menusuk	to stab	tibas, tobok
1221	manata'	membedah	to operate (on a person)	tata'
1222	mamaladi, mamalaas	membelah	to split, chop	ladi, laas
1223	mogingkulit	mengupas	to peel	ingkulit
1224	mangubak, manganit	menguliti pokok	to take bark off tree	kubak, anit
