\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
monorimo',,menerima,"to receive (letter, telegram)",torimo',,,,
surat,n,surat,letter,,,,,
surat badatar,n,surat berdaftar,registered letter,,,,,
sitim,n,stem,stamp,,,,,
sarung surat,n,sarung surat,envelope,,,,,
lopot (pos),n,bungkusan,parcel,,,,,CHECK_LX
gambar poskad,n,poskad,postcard,,,,,
mongingibit do surat,n,posmen,mail carrier,ibit,,,,
talipaun,n,telefon,telephone,,,,,
taligaram,n,telegram,telegram,,,,,
nagaam,n,mengecap,"stamp, seal",,,,,
ianan,n,alamat,address,,,,,
saap dos,n,cap pos,postmark,,,,,
poibitan do kapal tarabang,n,mel udara,airmail,ibit,,,,
kutak pos,n,peti surat,post box,,,,,
poibitan do kapal timug,n,mel laut,sea mail,ibit,,,,
usin poibitan do pos,n,kiriman wang pos,postal money order,,"ibit, usin",,,
barang pinorinting,n,barang cetakan,printed matter,,,,,
mongira',,mengajar,to teach,kira',,,,
popobalajar,,mendidik,"to educate, train",ajar,,,,
anak ajaron,n,murid,pupil,ajar,,,,
mangubas,,berlatih,to practice,ubas,,,,
pantingubasan,n,latihan,exercise,ubas,,,,
buuk,n,buku,book,,,,,
mambasa',,membaca,to read,basa',,,,
palajaran,n,pelajaran,lesson,,,,,
pomorisaan,n,peperiksaan,examination,porisa',,,,
katua sikul,n,guru besar,"headmaster, principal",sikul,,pirinsipol,,
pirinsipol,n,guru besar,"headmaster, principal",,,katua sikul,,
balajar,,belajar,to study,,,,,
napaas,,lulus,to pass,paas,,,,
naratu',,"tidak lulus, gagal",to fail,ratu',,nopiil,,
nopiil,,"tidak lulus, gagal",to fail,piil,,naratu',,
sikul,n,sekolah,school,,,,,
sumikul,,bersekolah,to go to school,sikul,,,,
sikul nu ngaanak,n,sekolah rendah,elementary school,sikul,,,,
mogonini' sokulasip,n,biasiswa,scholarship (money),,,,,
sikul parinta,n,sekolah kerajaan,government school,sikul,,,,
sikul pokunsian,n,sekolah swasta,private school,sikul,,,,
mongingira',n,"guru, cikgu",teacher,kira',,,,
kaajaran do unibositi,n,kuliah,university lecture,ajar,,,,
unibositi,n,universiti,university,,,,,
upis,n,pejabat,office,,,,,
kusoi susumikul do masawat,n,mahasiswa,male student,sikul,,,,
andu' susumikul do masawat,n,mahasiswi,female student,sikul,,,,
bilik sikulan,n,"bilik darjah, kelas",classroom,sikul,,,,
papan itom,n,papan hitam,blackboard,,,,,
mija sikul,n,meja tulis,desk,,,,,
kurisi,n,kerusi,chair,,,,,
kapur tulis,n,kapur tulis,chalk,tulis,,,,
buuk pontingubasan,n,buku latihan,exercise book,ubas,,,,
kantung,n,"beg buku, sekolah","satchel, bag",,,,,
surai dawat,n,tempat dakwat,inkpot,,,,,
lolopot buuk,n,tempat buku,bookcase,lopot,,,,
tinimungan buuk ololoson,n,perpustakaan,library,,"timung, olos",,,
mata palajaran,n,mata pelajaran,subject,,,,,
basaan,n,bacaan,reading,basa',,,,
tulisan,n,tulisan,writing,tulis,,,,
karangan,n,karangan,essay,karang,,,,
ilmu kasiatan,n,ilmu kesihatan,hygiene,,,,,
sasarita',n,sejarah,history,,,tuturan,,
tuturan,n,sejarah,history,,,sasarita',,
kapandayan do koposion,n,ilmu hayat,biology,pandai,,,,
kapandayan do pamagunan,n,"ilmu bumi, ilmu alam",geography,pandai,,,,
moguot,,menyelidiki,to investigate,uot,,,,
mamarisa',,memeriksa,to examine,,"parisa', porisa'",,,
kira-kira',n,ilmu hisab,mathematics,,,,,
monyukat,,mengukur,to measure,sukat,,,,
karaja',n,pekerjaan,(manual) work,,,,,
potingubasan do inan,n,latihan jasmani,physical education,ubas,,,,
pasal do kountaban,n,soal hitung,math problem,,"pasal, untob",,,
mongapal,,menghafalkan,to learn by heart,apal,,,,
ukum,n,hukum,law,,,,,
kotua jabatan,n,dekan,dean,,,,,
bilik pangangajaran,n,ruang kuliah,lecture hall,,,,,
mongangajar do sikul masawat,n,"pensyarah, dosen",university lecturer,ajar,,,,
pogilayan do jadi,n,"eksperimen, percubaan",experiment,ilai',,,,
koubasanan,n,kebudayaan,culture,ubas,,,,
alun-alun,n,jalan,road,,,,,
alun-alun masimin,n,jalanraya,"highway, main road",,,,,
dalan mamanau,n,jejak,trail,,,,,
manabun do alun-alun,,merintangi jalan,to block the road,tabun,,,,
pisimpangan,n,persimpangan,crossroad,simpang,,,,
jambatan,n,jambatan,bridge,,,,,
mamanau tonok,,berjalan kaki,to go on foot,panau,,,,
sumakoi korita',,naik kenderaan,to go by vehicle,sakoi,,,,
sumakoi do kapal,,naik kapal,to go by boat,sakoi,,,,
mugad,,berpergian,to travel,ugad,,,,
barangkat,,berangkat,to depart,angkat,,mugad,,
mugad,,berangkat,to depart,ugad,,barangkat,,
rumikot,,"tiba, sampai",to arrive,rikot,,,,
isan alun-alun,n,pinggir jalan,roadside,,,,,
napalid,,salah jalan,to lose one's way,palid,,,,
korita',n,kenderaan,vehicle,,,kurita',,
kurita',n,kenderaan,vehicle,,,korita',,
bisikal,n,basikal,bicycle,,,,,
angkul,n,kereta,cart,,,,,
baas,n,bas,bus,,,,,
jiip,n,jip,jeep,,,,,
motokar siwa',n,taksi,taxi,,,tiksi,,
tiksi,n,taksi,taxi,,,motokar siwa',,
tarak,n,trak,truck,,,,,
mutusikol,n,motosikal,motorcycle,,,,,
motokar,n,motokar,automobile,,,,,
ruda',n,roda,wheel,,,,,
tayor,n,tayar,tire,,,,,
kapal tarabang,n,"kapalterbang, pesawat terbang",airplane,,,,,
padang kapal tarabang,n,lapangan terbang,airport,,,,,
kapal,n,kapal,boat,,,podou,,
podou,n,kapal,boat,,,kapal,,
kapal layag,n,kapal layar,sailboat,,,,,
podou monini',n,perahu,canoe,,,,,
rakit,n,rakit,raft,,,,,
dayung,n,dayung,oar,,,,,
mimbasi,,berdayung,to row,basi,,,,
palabuan,n,pelabuhan,port,,,,,
layag,n,layar,sail,,,,,
sau',n,"sauh, jangkar",anchor,,,,,
kamudi,n,kemudi,"rudder, steering wheel",,,,,
mangangamudi,n,"pemandu (kereta), drebar",driver,kamudi,,,,
manunumpang,n,penumpang,passenger,tumpang,,,,
barang-barang,n,"barang-barang, bagasi",baggage,,,,,
kabun,n,kebun,"garden, plot",,,pantatanaman,,
pantatanaman,n,kebun,"garden, plot",tanom,,kabun,,
ranau,n,sawah,wet field,,,,,
motidong,n,ladang,dry field,tidong,,pogumaan,,
pogumaan,n,ladang,dry field,umo,,motidong,,
managad,,menebang pokok,to chop down trees,tagad,,,,
sakot jangkou,n,rumput liar,weeds,,,,,
momoruak,,menggali,to dig,ruak,,momolubang,,
momolubang,,menggali,to dig,lubang,,momoruak,,
mantanom,,menanam,to plant,tanom,,,,
monuung,n,"penuaian, panen",harvest,tuung,,mongomot,,
mongomot,n,"penuaian, panen",harvest,omot,,monuung,,
mongupu',,memetik,to pick,upu',,,,
batang bilod,n,"jerami, batang padi","stubble, straw",,,batang sakot,,
batang sakot,n,"jerami, batang padi","stubble, straw",,,batang bilod,,
mamaradu',,membajak,to plow,radu',,,,
radu',n,bajak,plow,,,,,
manyangkut,,mencangkul,to hoe,sangkut,,,,
mangakai,,menggaruk,to rake,kakai,,manyurud,,
manyurud,,menggaruk,to rake,surud,,mangakai,,
pakakabun,n,petani,farmer,kabun,,,,
tana' maparu,n,subur,fertile,,,,,
pamamaru do tana',n,pupuk,fertilizer,paru,,,,
andab,n,hama,"plant disease, pest",,,kiuk,,
kiuk,n,hama,"plant disease, pest",,,andab,,
linsou,n,biji,seed,,,,,
mongambur,,menabur,to sow,ambur,,,,
baris,n,"deretan, baris",row,,,,,
mamarun,,"memangkas, mencantas",to prune,parun,,,,
sinarok,n,semai,seedling,sarok,,,,
panyarakan,n,persemaian,"seedbed, nursery",sarok,,,,
sirang,n,petak,section of a field,,,,,
monyungug,,menyiram,"to spray, sprinkle",sungug,,,,
nalai',n,layu,withered,lai',,,,
noiangan,n,disiangi,weeded,iang,,,,
mongiang,,menyiangi,to weed,iang,,,,
mongomot,,memungut,to harvest,omot,,monuung,,
monuung,,memungut,to harvest,tuung,,mongomot,,
poposasad,,merambat,to spread,sasad,,,,
mongubul,,mencabut,to pull,ubul,,,,
parit ponimugan,n,"parit, taliair",irrigation canal,,,,,
binatang,n,jalur,furrow,batang,,,,
tana',n,tanah,soil,,,,,
monombusak,,berkembang,to bloom,busak,,,,
sumundu,,tumbuh,to grow,sundu,,,,
mongoi pagapon,,mencari ikan,to go fishing,apon,,,,
magapon,,memancing,to fish with a line,apon,,,,
angguran apon,n,tangkai pancing,fishing rod,apon,,,,
pakarang,n,nelayan,fisherman,karang,,,,
bakarang do kana',,menangkap ikan,to catch fish,karang,,,,
upan,n,umpan,bait,,,,,
atuk,n,mata kail,fish hook,,,,,
mantubo,,meracuni ikan,to poison fish,tubo,,,,
lumban,n,"bubu, lukah",types of fishtrap,,,,,
mantaan do lumban,,memasang lukah,to set a fishtrap,taan,,,,
sawak,n,keranjang ikan,fish basket,,,,,
momubus do lumban,,mengosongkan lukah,to empty out fishtrap,bubus,,,,
rambat,n,"jala, jaring",fish net,,,,,
pukot,n,pukat,large fish net,,,ansau,,
ansau,n,pukat,large fish net,,,pukot,,
tampuling,n,penikam,spear,,,,,
obon,n,"bendungan, empangan",dam,,,,,
mogobon,,"mengempang, membendung",to dam up,obon,,,,
bolot,n,belot,a kind of fishtrap,,,,,
kilung,n,belot,a kind of fishtrap,,,,,
mogasu,,berburu,to go hunting,asu,,,,
asuon,n,binatang buruan,game,asu,,inasuan,,
inasuan,n,binatang buruan,game,asu,,asuon,,
magagasu,n,pemburu,hunter,asu,,panyambang,,
panyambang,n,pemburu,hunter,sambang,,magagasu,,
magalou,,mengejar,"to hunt, stalk",alou,,,,
mogupan,,memikat,to lure,upan,,,,
upan,n,umpan,bait,,,,,
mongurung,,mengepung,to round up,kurung,,,,
monusuk,,menusuk,to pierce,susuk,,,,
moniru',,kena,to hit (target),tiru',,,,
naawos,,tidak kena,to miss,awos,,,,
mamatoi,,membunuh,to kill,patoi,,,,
momilat,,melukai,to wound,pilat,,,,
lungkasip,n,perangkap,trap,,,,,
kurungan,n,sangkar,cage,kurung,,,,
pana',n,panah,bow and arrow,,,,,
damok,n,anak panah,arrow,,,,,
baug,n,"ibu panah, busur",bow,,,,,
ulu damok,n,kepala panah,arrowhead,,,ulu pana',,
ulu pana',n,kepala panah,arrowhead,,,ulu damok,,
damok kipalig,n,panah beracun,poisoned arrow,,,,,
mamana',,melepaskan panah,to shoot an arrow,pana',,,,
mamadil,,menembak,to shoot (firearm),badil,,,,
sinapang,n,"senapang, bedil","gun, rifle",,,,,
momunong,,membidik,to aim,punong,,,,
mamagakut do baug,,memasang tali busur,to string a bow,gakut,,,,
mopapana',,melepaskan busur,to release bow,pana',,,,
mongansang do baug,,menarik busur,to tense a bow,ansang,,,,
andus,n,"tombak, lembing",spear,,,tampuling,,
tampuling,n,"tombak, lembing",spear,,,andus,,
monokon,,menombak,to spear,tobok,,,,
monyuling,n,"lastik, katapel",slingshot,,,,,
pisau,n,pisau,knife,,,,,
mongamuk,,menikam,to stab,amuk,,,,
sandung,n,parang,"machete, bushknife",,,,,
asu pagagasu,n,anjing pemburu,hunting dog,asu,,,,
sinjata',n,senjata,weapon,,,,,
tinggom,n,ternak,livestock,,,,,
moninggom,,beternak,to take care of livestock,tinggom,,,,
kurungan,n,kandang,house for animal,kurung,,,,
kurungan manuk,n,kandang ayam,chicken coop,,,,,
monyumad,,memberi makan,to feed,sumad,,,,
momaga' do susu,,memerah susu,to milk,paga',,,,
mongubul do bulu,,mencabut bulu,to pluck,ubul,,,,
mongikis,,mencukur,to shear,kikis,,momuguk,,
momuguk,,mencukur,to shear,buguk,,mongikis,,
mantamong do,,menggembalakan,"to watch, shepherd",tamong,,,,
kawan,n,kawanan,herd,,,panon,,
panon,n,kawanan,herd,,,kawan,,
kambing,n,kambing,goat,,,,,
sapi',n,"lembu, sapi","cow, cattle",,,,,
kambing biri-biri,n,"kambing biribiri, domba",sheep,,,,,
bogok,n,babi,pig,,,,,
kuda',n,kuda,horse,,,,,
titinggomon piaraan,n,piaraan,domesticated animal,tinggom,,,,
antalawan,n,jantan,male (animal),antalou,,jantan,,
jantan,n,jantan,male (animal),,,antalawan,,
andu',n,betina,female (animal),,,maganak,,
maganak,n,betina,female (animal),anak,,andu',,
magaganak,n,induk,mother animal,anak,,,,
sapi' sangawan,n,sapi jantan,bull,,,,,
lulu-luluan,n,"binatang, haiwan",animal,,,,,
jongkom,n,kuku,hoof,,,,,
kambing sangawan,n,bandut,"ram, billy goat",,,,,
mongkotop,,merumput,to graze,kotop,,,,
pakakatapan,n,padang rumput,pasture,kotop,,,,
monyumbali,,menyembelih,to slaughter,sumbali,,,,
rami,n,"rumput kering, jerami",hay,,,,,
pagar,n,pagar,fence,,,,,
lios,n,"kutu caplak, sengkenit",tick,,,kutu,,
kutu,n,"kutu caplak, sengkenit",tick,,,lios,,
duktur binatang,n,doktor haiwan,veterinarian,,,,,
sakit jongkom om kabang,n,penyakit mulut dan kuku,hoof and mouth disease,,,,,
maganak,n,biak,fertile,anak,,mamabo',,
mamabo',n,biak,fertile,babo',,maganak,,
mogontian,n,bunting,pregnant (animals),,,,,
mogunggali',,mengebiri,to castrate,unggali',,,,
mapababo',n,perkawinan,breeding,babo',,,,
dawai kidui',n,"dawai duri, kawat berduri",barbed wire,dui',,,,
mangasa',,mengasah,to sharpen,asa',,,,
maladom,,tajam,sharp,ladom,,,,
matumpol,,tumpul,blunt,tumpol,,,,
pisau,n,pisau,knife,,,,,
pisau lipaton,n,pisau lipat,pocket knife,,,,,
pononotok,n,golok,chopping knife,totok,,,,
boor,n,bor,"drill, brace and bit",,,,,
supit basi',n,kakaktua,pliers,,,,,
andus,n,tombak,spear,,,tampuling,,
tampuling,n,tombak,spear,,,andus,,
sandung,n,parang,"bush knife, machete",,,,,
kapak,n,kapak,"axe, adze",,,,,
ulu sandung,n,"tangkai, gagang",handle,,,,,
tantaran kapak,n,tangkai kapak,handle,,,,,
ladom,n,mata pisau,blade,,,,,
pagung,n,punggung pisau,back of knife,,,,,
sikup,n,sekop,"spade, shovel",,,,,
landasan,n,landasan besi,anvil,,,,,
kokorob,n,"arit, sabit",sickle,korob,,,,
sangkut,n,cangkul,hoe,,,,,
tukul,n,"tukul, pemukul, martil",hammer,,,,,
paku',n,paku,nail,,,,,
sikurup,n,skru,screw,,,,,
garagadi,n,gergaji,saw,,,,,
pomamapanan,n,penggergajian,sawmill,papan,,,,
sangkal,n,"gandin, palu kayu",mallet,,,,,
paat,n,pahat,chisel,,,,,
supit basi',n,tang,tongs,,,,,
gunting,n,gunting,scissors,,,,,
pogugubul do sikurup,n,"obeng, pemutar skru",screwdriver,ubul,,,,
kikir,n,kikir,file,,,,,
katam,n,ketam,plane,,,,,
pomumuar do tana',n,penggaruk tanah,rake,,,,,
pakakas,n,perkakas,tools,,,,,
kakapu,n,sapu,broom,,,,,
sikuir,n,siku-siku,carpenter's square,,,,,
manambir,,menjahit,to sew,tambir,,,,
injin panambir,n,mesin jahit,sewing machine,tambir,,,,
monombong,,menambal,to patch,tombong,,,,
monyalup,,menyulam,to embroider,salup,,,,
monimpukul,,merajut,"to knit, crochet",timpukul,,,,
monyulug,,menjelujur,to sew loosely,sulug,,,,
tukang jahit,n,tukang jahit,"tailor, seamstress",,,,,
momolundun,,mengelim,to hem,lundum,,,,
monaajo,,"menisik, memperbaiki",to mend,taajo,,,,
ruak,n,lobang,hole,,,,,
nourak,,"koyak, sobek, robek",torn,urak,,nokinis,,
nokinis,,"koyak, sobek, robek",torn,kinis,,nourak,,
momitor,,memintal,to spin (thread),pitor,,,,
pomimitor,n,alat pemintal,spinning wheel,pitor,,,,
gantian,n,benang,thread,,,,,
jarum,n,jarum,needle,,,,,
jarum sikat,n,jarum rajut,knitting needle,,,,,
mongintal,,membuat tali,to make rope,intal,,,,
kumamban,n,butang; kancing,"button; hook, fastening",,,,,
mamatu,,menenun,to weave (cloth),batu,,,,
mamatu do ikam,,menganyam,to weave (baskets/mats),batu,,,,
balikat,n,keranjang,basket,,,bakul,balatak,
bakul,n,keranjang,basket,,,balikat,balatak,
balatak,n,keranjang,basket,,,balikat,bakul,
juli',n,beg,bag,,,,,
pomotuan,n,penganyaman keranjang,basketry,batu,,,,
tali,n,tali,"string, rope",,,kalat,,
kalat,n,tali,"string, rope",,,tali,,
momilos do tali/kalat,,memilin tali,to twist string,pilos,,,,CHECK_LX
gakut abuk,n,pita,ribbon,,,,,
gunting,n,gunting,scissors,,,,,
konoon,n,kain,cloth,,,,,
kapas,n,kapas,cotton,,,,,
balikat,n,raga,basket (for pig/heavy loads),,,,,
bakul,n,bakul,basket for padi,,,,,
balatak,n,raga,shopping basket,,,,,
tataun,n,kayu,wood,,,,,
tukang kayu,n,tukang kayu,carpenter,,,,,
ponyusuk,n,baluk,beam (of wood),,,,,
papan,n,papan,plank,,,,,
rigi,n,tiang,pole,,,,,
tataun balian,n,"kayu besi, belian",ironwood,,,,,
kuda-kuda,n,kuda-kuda,"trestle, sawhorse",,,,,
tukad,n,tangga,"ladder, stairs",,,,,
palan (baloi),n,rangka,framework,,,,,CHECK_LX
bata',n,batu bata,brick,,,,,
taap batu,n,genting,roof tile,,,,,
batu bolinsoulinsou,n,batu kerikil,gravel,,,,,
agis,n,pasir,sand,,,,,
simin,n,simen,cement,,,,,
tutuan,n,"lepa, adukan pelester",mortar,,,,,
pomogiuran do simin,n,pengadukan simen,cement mixer,giur,,,,
taap,n,atap,roof,,,,,
mamaku',,memaku,to nail,paku',,,,
monidong,,"membangun, mendirikan",to build,tidong,,,,
pakakaraja',n,pekerja,worker,karaja',,,,
gaji',n,gaji,"wages, salary",,,,,
kainsawatan gaji',n,kenaikan gaji,pay rise,sawat,,,,
mamamagaji',n,majikan,employer,gaji',,,,
kilang,n,kilang,factory,,,,,
mananamba',n,pembantu,domestic help,tamba,,,,
udipon,n,hamba,slave,,,,,
gugumaji',n,pekerja,employee,gaji',,,,
gugumaji' do parinta,n,pegawai kerajaan,government officer,gaji',,,,
mandor,n,mandor,overseer,,,,,
pamagaji',n,upah,wages,gaji',,,,
ulun koiso pagajian,n,penganggur,unemployed person,gaji',,,,
Kasatuan pakakaraja',n,Kesatuan sekerja,Trade/labor union,karaja',,,,
manyiwa',,"menggaji, mengupah",to hire,siwa',,,,
mapapapanau,n,"pemandu (kereta), drebar",driver,panau,,,,
poniagaan,n,"perusahaan, perniagaan",business,niaga',,,,
mopotingkod,,memecat,to fire,tingkod,,,,
mopokaraja',,mempekerjakan,to employ,karaja',,,,
lumogos,,mogok,to strike,logos,,popologos do karaja',,
popologos do karaja',,mogok,to strike,logos,,lumogos,,
rumasakit,n,rumahsakit,hospital,sakit,,,,
kalinik,n,klinik,clinic,,,,,
mongoi do duktur,,pergi ke doktor,to see the doctor,ongoi,,,,
panyakit,n,penyakit,sickness,sakit,,moduol,,
moduol,n,penyakit,sickness,duol,,panyakit,,
mopobonsoi do moduol,,menyembuhkan,to cure,bonsoi,,,,
ubat pil,n,pil,pill,,,,,
ubat,n,ubat,medicine,,,,,
makan do ubat,,minum ubat,to take medicine,,,,,
mangasu,,mengubati,to treat,asu,,mangubati,,
mangubati,,mengubati,to treat,ubat,,mangasu,,
mamajarum,,menyuntik,to inject,jarum,,,,
pilat,n,luka,wound,,,,,
pomomolopot do pilat,n,pembalut,bandage,lopot,,,,
ubat ria',n,ubat merah,mercurochrome,,,,,
sumuang do rumasakit,,masuk rumahsakit,to be hospitalized,suang,,,,
sumibonsoi,,sembuh,to recover,bonsoi,,,,
panataan,n,pembedahan,operation,tata',,,,
mananata',n,doktor bedah,surgeon,tata',,,,
duktur,n,doktor,doctor,,,,,
duktur dipon,n,doktor gigi,dentist,,,,,
duktur anak,n,doktor anak,pediatrician,,,,,
duktur nu koduduo',n,doktor jiwa,psychiatrist,,,,,
monongkopandai do ubat,n,ahli ubat,pharmacist,,,,,
doriso,n,jururawat lelaki,paramedic/dresser,,,dorisa,,
dorisa,n,jururawat lelaki,paramedic/dresser,,,doriso,,
pongkuyut,n,bidan,midwife,,,,,
noos,n,jururawat,nurse,,,,,
ubat-ubatan,n,ubat-ubatan,drugs,,,,,
dukun,n,dukun,"witch doctor, medicine man",,,,,
ambulan,n,ambulans,ambulance,,,imbulon,,
imbulon,n,ambulans,ambulance,,,ambulan,,
pananggungan,n,usungan,stretcher,tanggung,,pangakatan,,
pangakatan,n,usungan,stretcher,kakat,,pananggungan,,
kasiatan rayat,n,kesihatan rakyat,public health,,,,,
pogilayan,n,gejala,symptom,ilai',,,,
mangatawan do panyakit,,mengenal penyakit,to diagnose a disease,tawan,,,,
koponontudukan,n,resep,prescription,tuduk,,,,
ulun sumakit,n,pasien,patient,sakit,,,,
tukang-tukangan,n,pertukangan,handicraft,,,,,
mongukir do tataun,,mengukir kayu,to carve wood,ukir,,,,
barang pacah balah,n,barang pecah-belah,pottery,,,,,
puputan,n,tempat pembakaran,kiln,,,,,
pokakabun,n,tukang kebun,gardener,kabun,,,,
lulumayag,n,pelaut,"sailor, seaman",layag,,,,
tukang tulis,n,setiausaha,secretary,tulis,,monyunyurat,,
monyunyurat,n,setiausaha,secretary,surat,,tukang tulis,,
boniaga',,"berdagang, berniaga",to trade,niaga',,,,
poniaga',n,pedagang,trader,niaga',,badadagang,,
badadagang,n,pedagang,trader,dagang,,poniaga',,
ulun poniaga,n,"pengusaha, saudagar",businessman,niaga',,,,
monsusupu',n,tukang besi,blacksmith,supu',,,,
tukang amas,n,tukang emas,goldsmith,,,,,
mata-mata,n,anggota polis,policeman,,,,,
tukang masak,n,jurumasak,"cook, chef",,,,,
karani' beng,n,kerani bank,bank clerk,,,,,
tukang gunting,n,tukang cukur,"barber, hairdresser",,,,,
mangapandai do pagun,n,ahli ilmu alam,scientist,pandai,,,,
mongingira',n,"guru, cikgu",teacher,kira,,,,
soljar,n,"asykar, anggota tentera",soldier,,,soujar,,
soujar,n,"asykar, anggota tentera",soldier,,,soljar,,
jaga' kadai,n,perkedaian,shopkeeping,jaga',,,,
jujumaga' kadai,n,pekedai,shopkeeper,jaga',,,,
imbaan,n,"kehutanan, perhutanan",forestry,,,katalunan,,
katalunan,n,"kehutanan, perhutanan",forestry,,,imbaan,,
bengkel,n,bengkel,"shop, workshop",,,,,
mananaajo do injin,n,mekanik,mechanic,taajo,,,,
paado,n,pendita,"pastor, priest",,,padiri,,
padiri,n,pendita,"pastor, priest",,,paado,,
mananaip,n,penaip,typist,taip,,,,
momombisara',n,hakim,judge,bisara',,,,
mandadawa',n,"pendakwa raya, jaksa",public prosecutor,dawa',,,,
tukang jaam,n,tukang jam,watch repairman,,,,,
tukang dipon / gigi,n,tukang gigi,dental technician,,,,,CHECK_LX
tukang kasut,n,tukang kasut,shoemaker,,,,,
tukang ruti',n,tukang roti,baker,,,,,
tukang popoabar,n,wartawan,journalist,abar,,,,
momomorinting,n,pencetak,printer,porinting,,,,
ulun nu kobubuukan,n,ahli perpustakaan,librarian,buuk,,,,
bilod batang,n,padi,rice plant,,,puun bilod,,
puun bilod,n,padi,rice plant,,,bilod batang,,
bilod,n,gabah,"unhulled, unhusked rice",,,bua' bilod,,
bua' bilod,n,gabah,"unhulled, unhusked rice",,,bilod,,
bagas,n,beras,"hulled, husked rice",,,,,
kanon,n,nasi,cooked rice,,,,,
monuung,,"memotong, menuai padi",to harvest rice,tuung,,mongomot,,
mongomot,,"memotong, menuai padi",to harvest rice,omot,,monuung,,
mopalapos,,mengirik,to thresh rice,lapos,,mongagik,,
mongagik,,mengirik,to thresh rice,agik,,mopalapos,,
monutu do bilod,,menumbuk padi,to pound rice,tutu,,,,
angkob,n,lumbung,rice barn,,,,,
tutuan,n,lesung,mortar,tutu,,,,
tutu,n,alu,pestle,tutu,,,,
mangatap,,menampi beras,to winnow rice,atap,,monyiri,,
monyiri,,menampi beras,to winnow rice,siri,,mangatap,,
dodok,n,dedak,bran,,,,,
lilibu,n,nyiru,winnowing tray,,,,,
magansak,,menanak,to cook rice,ansak,,,,
montuug do bilod,,menjemur padi,to dry rice in the sun,tuug,,,,
lakatan,n,"pulut, ketan",sticky rice,,,,,
lanjang,n,periuk,pot for cooking rice,,,,,
mongukus,,mengukus,to steam,kukus,,,,
mantanok,,merebus,to boil,tanok,,,,
dodok,n,tepung beras,rice flour,,,,,
natok,n,sagu,sago,,,,,
pinantung,n,sagu cooked,cooked sago,pantung,,,,
kinubol,n,sagu buluh,sago cooked in bamboo,,,,,
tumpi,n,sagu bakar,baked sago,,,,,
bubur pinantung,n,papeda,sago porridge,pantung,,,,
mamalu,,menonok,to pound (sago),palu,,,,
papalu,n,penonok,pounder,palu,,,,
ansi,n,rumbio,core (of sago palm),,,,,
natok,n,pati,sago flour,,,,,
mangayak,,menganyak,to sift (sago flour),ayak,,,,
pangayakan,n,"saringan, tapisan",strainer,ayak,,,,
supit,n,senduk sagu,sago spoon,,,susungkil,,
susungkil,n,senduk sagu,sago spoon,,,supit,,
natok,n,papeda yang merah,uncooked sago,,,lipog,,
lipog,n,papeda yang merah,uncooked sago,,,natok,,
mamantung,,mengolah sagu,to cook sago,pantung,,,,
kalumpang,n,loyang kayu,wooden baking dish,,,,,
kukuar,n,pengaduk,stirring spoon,kuar,,,,
manguar,,mengaduk,to stir,kuar,,,,
naansak,n,dimasak,cooked,ansak,,,,
magansak,,memasak,to cook,ansak,,monsudu,,
monsudu,,memasak,to cook,sudu,,magansak,,
mopalasu,,memanaskan,to heat,lasu,,,,
gumolok,,mendidih,to boil (intr.),golok,,,,
mantanok,,merebus,to boil (tr.),tanok,,mopogolok,,
mopogolok,,merebus,to boil (tr.),golok,,mantanok,,
mansalag,,memanggang,"to broil, roast, bake in fire",salag,,,,
momolugu,,membakar,"to bake, to roast",lugu,,,,
momoguring,,menggoreng,to fry,guring,,,,
umau pomoguring,n,minyak goreng,frying oil,guring,,,,
mantiga',n,mentega,butter,,,,,
mongukus,,mengukus,to steam,kukus,,,,
magabug,,merendam,to soak,abug,,,,
mogiib,,menuang,to pour out,iib,,,,
monotok,,mencencang,to chop,totok,,,,
momogoul,,mencampur,to mix,goul,,mopogaul,,
mopogaul,,mencampur,to mix,gaul,,momogoul,,
mongusau,,mengaduk,to stir,kusau,,,,
momboug do kana',,membersihkan ikan,to clean fish,,"boug, baug",,,
moposodia',,mempersiapkan,to prepare,sodia',,,,
monginsisi',,menyisiki,to remove scales,insisi',,,,
mangasap,,mengasapi,to smoke over a fire,asap,,,,
mopogolok do timug,,memasak air,to boil water,golok,,,,
mogingkulit,,mengupas,"to peel, remove husk",kulit,,,,
mantuug,,menjemur,to dry in the sun,tuug,,,,
mongikis,,mengikis,"to scrape (e.g., carrots)",kikis,,,,
mangarib,,memotong,to cut up,arib,,,,
mamagarus,,memarut,"to grate (e.g., coconut)",garus,,,,
momikis,,menaburkan,"to scatter, sprinkle",bikis,,,,
monyinsib,,mengiris,to slice,sinsib,,,,
monutu,,menumbuk,to pound,tutu,,,,
popobalad,,melumurkan,"to spread, smear",balad,,,,
tandaan,n,bahan,ingredient,tanda',,,,
aturan,n,resepi makanan,recipe,,,,,
koponontudukan,n,keterangan,directions,tuduk,,,,
apui,n,api,fire,,,,,
suduon,n,kayu bakar,firewood,sudu,,,,
polopou,n,arang,charcoal,,,,,
sinimbula,n,nyala,flame,simbula,,,,
mamasi do apui,,menyalakan api,to light a fire,,"pasi, apui",,,
popou,n,bara,glowing coal,,,,,
batu apui,n,batu api,flint,,,,,
sumongkilab,,berkobar,to flame up,songkilab,,,,
momolugu,,membakar,"to burn, bake",lugu,,,,
