\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
dangalau,n,rambutan,rambutan,,,udong alau,,
kapayas,n,"papaya, betik",papaya,,,,,
piasau,n,kelapa,coconut,,,,,
bolimbing,n,belimbing,starfruit,,,,,
dudungu',n,pisang,banana,,,,,
mangga',n,mangga,mango,,,,,
pandan nanas,n,nanas,pineapple,,,,,
bua' jagus,n,"gajus, jambu monyet",cashew nut,,,,,
biabas,n,"biawas, jambu biji",guava,,,,,
bua' delima,n,delima,pomegranate,,,,,
bua' anggur,n,anggur,grape,,,,,
nangko,n,nangka,jackfruit,,,,,
limau,n,limau/jeruk manis,orange,,,,,
onsom kalapis,n,jeruk limun,lemon,,,,,
onsom kalapis,n,limau nipis,lime,,,,,
kabaung,n,"limau abung, jeruk bali","pomelo, shaddock",,,,,
tumatu,n,tomat,tomato,,,tamatus,,
tamatus,n,tomat,tomato,,,tumatu,,
ceri,n,ceri,cherry,,,,,
bua' manggis,n,manggis,mangosteen,,,,,
tabarus,n,asam,tamarind,,,,,
dalit,n,durian,durian,,,,,
sukun,n,sukun,breadfruit,,,,,
cikui,n,"tembikai, melon, semangka",watermelon,,,kaduit,,
kaduit,n,"tembikai, melon, semangka",watermelon,,,cikui,,
nunuk,n,ara,fig,,,,,
bua' pala,n,buah pala,nutmeg,,,,,
lampun labuan,n,"durian belanda, sirsak",soursop,,,,,
kismis,n,kismis,raisin,,,,,
epal,n,apel,apple,,,,,
sansam,n,bayam,spinach,,,,,
ambawang maria',n,bawang merah,onion,,,,,
ambawang mapurak,n,bawang putih,garlic,,,,,
kasang,n,buncis,beans,,,,,
gandum,n,jagung,"corn, maize",,,,,
kulat,n,"jamur, kulat",mushroom,,,,,
sangkung,n,kangkung,kind of spinach (water spinach),,,,,
kasang gadung,n,kacang buncis,green peas,,,,,
kasang gawad,n,kacang panjang,string beans,,,,,
sangop,n,"timun, ketimun, mentimun",cucumber,,,,,
kubis,n,"kobis, kol",cabbage,,,,,
kubis bunga',n,"kobis bunga, kol kembang",cauliflower,,,,,
ambawang ligiu,n,kucai,leek,,,,,
labu,n,labu,pumpkin,,,,,
tawadak,n,labu siam,squash,,,,,
lubak,n,lobak,radish,,,,,
sasai,n,pecai,chinese cabbage,,,,,
abung,n,rebung,bamboo shoot,,,,,
sasai tomou,n,sawi,mustard greens,,,,,
sasambalon,n,selada,lettuce,,,,,
sasambalon timug,n,selada air,water cress,,,,,
taugi,n,tauge,beansprouts,,,,,
kingkirung,n,terung,eggplant,,,,,
lado,n,"cili, cabai, lombok",red pepper,,,,,
tumatus,n,tomat,tomato,,,,,
lukasing,n,kacang tanah,peanut,,,,,
kasang soya,n,"kacang soya, kacang kedelai",soybean,,,,,
kasang ria',n,kacang merah,"red bean, kidney bean",,,,,
bunga tatau,n,"okid, anggerik",orchid,,,,,
bunga pangkat,n,"bunga raya, bunga sepatu",hibiscus,,,,,
bunga rus,n,bunga mawar,rose,,,,,
bunga malati,n,bunga melati,jasmine,,,,,
bunga kembang bulan,n,kembang bulan,marigold,,,,,
bunga matahari,n,bunga matahari,daisy,,,bunga mato odou,,
bunga mato odou,n,bunga matahari,daisy,,,bunga matahari,,
bunga bakung,n,bunga bakung,lily,,,,,
kamboja,n,kemboja,"plumeria, frangipani",,,,,
bunga taratai,n,"telepuk, teratai, seroja",lotus,,,,,
bunga sampaka,n,cempaka,frangipani; gardenia,,,,,
paring,n,"bambu, buluh",bamboo,,,,,
owoi,n,rotan,rattan,,,,,
bilod,n,padi,rice,,,,,
daing,n,sirih,betel,,,,,
sakot,n,rumput,grass,,,,,
kumpai,n,rumput liar,weed,,,,,
